id,averageRating,category,name,phenotype,reviewCount,slug,strainTopTerp,subtitle,thc,topEffect,distanceMi,cannabinoids_cbc_order,cannabinoids_cbc_percentile50,cannabinoids_cbd_order,cannabinoids_cbd_percentile25,cannabinoids_cbd_percentile50,cannabinoids_cbd_percentile75,cannabinoids_cbg_order,cannabinoids_cbg_percentile50,cannabinoids_thc_order,cannabinoids_thc_percentile25,cannabinoids_thc_percentile50,cannabinoids_thc_percentile75,cannabinoids_thcv_order,cannabinoids_thcv_percentile50,effects_aroused_score,effects_creative_score,effects_energetic_score,effects_euphoric_score,effects_focused_score,effects_giggly_score,effects_happy_score,effects_hungry_score,effects_relaxed_score,effects_sleepy_score,effects_talkative_score,effects_tingly_score,effects_uplifted_score,terps_caryophyllene_score,terps_humulene_score,terps_limonene_score,terps_linalool_score,terps_myrcene_score,terps_ocimene_score,terps_pinene_score,terps_terpinolene_score
503547,4.627634660421545,Hybrid,MAC,Hybrid,427,mac,limonene,"aka Miracle Alien Cookies, Miracle Cookies",22.0,Happy,2.824786586622612,4,0.0,3,0.0,0.0,0.0,2,1.0,1,21.0,22.0,23.0,5,0.0,-0.284377005127255,0.0828662442036708,-0.495141303923275,0.505588883331301,-0.118641335028293,-0.0420609090944887,0.87074160568526,0.0279264218772714,0.758247539760953,-0.294842766560687,-0.122425131638662,-0.111068680444363,0.559116076390114,0.235702729889719,0.0896500684727553,0.679344283440048,0.192996101747666,0.145691311214895,0.040385771315564,0.396408717498735,0.0319630841603135
15,4.302402957486136,Sativa,Strawberry Cough,Sativa,2705,strawberry-cough,myrcene,,19.0,Energetic,2.490775796818254,4,0.0,3,0.0,0.0,0.0,2,1.0,1,17.0,19.0,22.0,5,0.0,0.0575666223715144,0.324343571323228,1.11387833688814,0.268715101403241,0.233890702844198,0.383111938241218,0.50746720907515,-0.175719605698853,-0.997546967465305,-0.813582113317889,0.661573327184565,-0.142008187579604,0.868669851182092,0.270594442470013,0.0889412688582852,0.1098588,0.0419260791648156,1.10165893025322,0.0250556911594847,0.393497556374944,0.0206652
2215,4.337910740559098,Hybrid,Cherry Pie,Hybrid,2039,cherry-pie,myrcene,,16.0,Giggly,2.839492130982535,4,0.0,3,0.0,0.0,0.0,2,1.0,1,14.0,16.0,19.0,5,0.0,0.186238825351436,0.0157860304391953,0.0572608808899758,0.206788096272208,-0.239593218522658,0.48363724502151,0.386902785602671,0.0587897753184967,0.113729559584842,-0.185652770043927,0.0516183957417402,-0.0776868037108197,0.10804914498029,0.430942554439687,0.159809574379121,0.151352226099598,0.100475251798308,0.754750477748298,0.131009069230325,0.175985096759649,0.011187049005269
2,4.253367003367003,Hybrid,Chemdawg,Hybrid,2376,chemdawg,caryophyllene,aka Chemdog,18.0,Euphoric,2.707420843696743,3,0.0,2,0.0,0.0,0.0,4,0.0,1,16.0,18.0,21.0,5,0.0,0.01816449142137,0.245663812776285,0.164506041691538,0.496912014636856,-0.121650578196186,0.157448377733262,0.0908192449167285,0.170829340448779,-0.435236473321588,-0.268937188784501,0.202235799935576,0.0255374549480254,0.251260247701378,0.445087078991725,0.151292380497858,0.278918463103541,0.048718304696985,0.388343729332533,0.0084109555750797,0.0975422285311012,0.016233252458179
180,4.405047048759624,Sativa,Super Lemon Haze,Sativa,2338,super-lemon-haze,terpinolene,aka SLH,19.0,Energetic,2.44737687592422,4,0.0,3,0.0,0.0,0.0,2,1.0,1,16.0,19.0,22.0,5,0.0,0.185521478372886,0.786855808658865,1.81868278226073,0.290568044483751,0.517435653257959,0.169648189082805,0.369404206082922,-0.138405716122053,-1.52867222330092,-0.918773570951934,0.770178701727287,-0.235663284770814,0.863407967637195,0.296538857749147,0.101907493844865,0.0971357550932991,0.0248584854316904,0.232297195405486,0.22458408875489,0.140586356896191,0.69063025129652
33,4.252853881278539,Indica,Bubba Kush,Indica,3504,bubba-kush,caryophyllene,"aka BK, Bubba, Bubba OG Kush",17.0,Sleepy,2.398254296027199,3,0.0,2,0.0,0.0,0.0,4,0.0,1,14.0,17.0,19.0,5,0.0,-0.17003679909259,-0.63692234217216,-0.819286572135805,-0.128769643526129,-0.782448961139352,-0.0108444149169038,-0.187458989623774,0.900137812812819,0.229038320117488,1.66292624808004,-0.525691183355097,-0.0324045705924856,-0.781055789269322,0.333131874901869,0.104499171813806,0.28966224084017,0.0866539361014778,0.269919428599572,0.00592606423847,0.0786139446728976,0.0117246376811594
142095,4.671919770773639,Hybrid,Blue Cookies,Hybrid,698,blue-cookies,caryophyllene,"aka Blue GSC, Blue Girl Scout Cookies",17.0,Relaxed,2.707420843696743,3,0.0,2,0.0,0.0,0.0,4,0.0,1,14.0,17.0,21.0,5,0.0,0.819088597983472,-0.236815919519568,-0.477118579218137,0.570706089953074,-0.340498773521744,0.27021755581514,0.407527848956806,0.427288862601597,0.820684846221488,0.375784981020223,-0.0906982805561702,0.108692065463203,-0.115883593503869,0.671165717619442,0.243697160176747,0.264547216376691,0.0928203044739023,0.12661325407346,8.33333333333333e-05,0.0791606249654792,0.007855
73967,4.549707602339181,Hybrid,Cookies and Cream,Hybrid,684,cookies-and-cream,caryophyllene,"aka Cookies n Cream, Cookies & Cream",20.0,Happy,2.398254296027199,4,0.0,3,0.0,0.0,0.0,2,2.0,1,18.0,20.0,22.0,5,0.0,0.0603895743689818,0.0297520136715909,-0.250224513287803,0.445052828929548,-0.17151246121605,0.603751212483749,0.725777657855625,0.244140903648744,0.590811509124258,0.27454145470629,0.207377264133126,0.142110595106472,0.305037172521018,0.34968063866833,0.133992538715008,0.271609503461921,0.085810183883008,0.153768063676528,0.0037505903810703,0.084898679698158,0.0229479141104294
1875,4.200080032012805,Sativa,Lemon Haze,Sativa,2499,lemon-haze,myrcene,,19.0,Energetic,2.497806114392692,4,0.0,3,0.0,0.0,0.0,2,1.0,1,18.0,19.0,22.0,5,0.0,-0.0902321059601738,0.214808997044017,1.08735804870459,0.198385082187653,-0.0681002421732126,0.663390314434967,0.596427598099624,0.193946606077405,-1.04728403924259,-0.604892717863574,0.790851275151055,-0.146110950748033,0.577388846692604,0.299975402585308,0.0873279682646136,0.163127667307359,0.0151712110183031,0.594633252542922,0.0062582105891719,0.0971908307045256,0.0075
503545,4.565836298932385,Hybrid,Wedding Crasher,Hybrid,281,wedding-crasher,caryophyllene,aka Wedding Crashers,21.0,Focused,2.798580593065285,4,0.0,3,0.0,0.0,0.0,2,1.0,1,18.0,21.0,24.0,5,0.0,0.256354418268347,0.180700483197441,0.0774457044206162,-0.268948108712785,0.865627135869582,0.345488968723966,0.48157565691756,0.0543271204421398,0.223244355505336,-0.343546789598976,0.456402674972458,-0.185939744904537,0.518635427833471,0.584644090909091,0.169470409090909,0.390020227272727,0.103034727272727,0.2623915,0.0364111363636364,0.163067545454545,0.0170262272727273
